发震日期,发震时间,经度(°),纬度(°),震源深度(千米),震级(M),震中位置
2019/9/16,20:48:39,100.35,38.6,11,5,甘肃张掖市甘州区
2019/9/8,6:42:13,104.79,29.55,10,5.4,四川内江市威远县
2019/9/5,21:58:35,116.16,14.77,20,5.2,南海海域
2019/8/18,12:05:14,121.57,23.74,6,5,台湾花莲县
2019/8/8,5:28:02,121.96,24.52,30,6.4,台湾宜兰县海域
2019/7/19,17:22:14,92.89,27.67,10,5.6,西藏山南市错那县
2019/7/13,8:57:41,128.26,29.15,230,6,东海海域
2019/7/4,10:17:58,104.74,28.41,8,5.6,四川宜宾市珙县
2019/6/22,22:29:56,104.77,28.43,10,5.4,四川宜宾市珙县
2019/6/18,7:34:33,104.89,28.37,17,5.3,四川宜宾市长宁县
2019/6/17,23:36:01,104.77,28.43,16,5.1,四川宜宾市珙县
2019/6/4,17:46:16,121.75,22.82,9,5.8,台湾台东县海域
2019/5/18,6:24:48,124.75,45.3,10,5.1,吉林松原市宁江区
2019/4/24,4:15:48,94.61,28.4,10,6.3,西藏林芝市墨脱县
2019/4/18,13:01:05,121.65,24.02,24,6.7,台湾花莲县海域
2019/4/9,23:13:22,121.61,23.96,10,5,台湾花莲县海域
2019/4/4,9:56:55,120.85,22.99,10,5.1,台湾台东县
2019/4/3,9:52:56,120.87,22.95,12,5.7,台湾台东县
2019/3/28,5:36:31,90.89,38.28,9,5,青海海西州茫崖市
2019/3/8,10:32:14,121.34,22.46,11,5.3,台湾台东县海域
2019/2/2,5:54:41,83.34,46.73,16,5.2,新疆塔城地区塔城市
2019/1/30,13:21:34,122.43,23.77,20,5.2,台湾花莲县海域
2019/1/20,22:28:33,87.77,30.09,10,5,西藏日喀则市谢通门县
2019/1/12,12:32:02,75.59,39.57,10,5.1,新疆喀什地区疏附县
2019/1/3,8:48:06,104.86,28.2,15,5.3,四川宜宾市珙县
