id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4863566056264432,MqFDTqhFe,2424603975,宣讲家网站,#新疆地震#【#新疆沙雅6.1级地震#】@中国地震台网正式测定：今天07时49分在新疆阿克苏地区沙雅县（北纬40.01度，东经82.29度）发生6.1级地震，震源深度50千米。提示：震中附近的朋友注意安全，小心强余震。愿平安！,,,中国地震台网,"新疆地震,新疆沙雅6.1级地震",0,0,0,2023-01-30 11:06,微博网页版,['https://wx1.sinaimg.cn/large/90848547gy1halhyhgrg0j20m80go3zv.jpg'],,
4863565797003010,MqFDttnNM,2942259823,王鹤棣_的金hang链,#新疆地震#愿都平安,,,,新疆地震,0,0,0,2023-01-30 11:05,王鹤棣脑袋Android,,,
4863565792284969,MqFDt9Aql,2025330667,乌鲁木齐校园,#新疆地震##新疆沙雅6.1级地震#突发地震如何自救⁉️地震黄金12秒，怎么自救❓地震发生后，若能镇定自若地在12秒内迅速躲避到安全处，就能给自己提供一次自救机会。#议起涨知识#突发地震如何自救？请选择错误❌答案,,,,"新疆地震,新疆沙雅6.1级地震,议起涨知识",0,1,16,2023-01-30 11:05,乌鲁木齐校园超话,,,
4863565724387095,MqFDmiphB,6702347405,稻壳视频,#新疆地震居民房子吊顶出现裂痕#今天，新疆沙雅发生6.1级地震。上午9点，橙柿互动联系上距离震中较近的沙雅县居民小张。小张是被“震醒”的，他住在10层。“当时在睡觉，刚开始就感觉楼在摇摆，床也跟着摇摆，自己就醒了，觉得跑下去时间来不及，于是和奶奶选择躲进了卫生间。直到在卫生间里，房子还在摇，持续了三到五分钟。”小张说小区群里有人说，自己房子的吊顶出现了裂痕，还有朋友说没人比她抱着孩子更感到害怕......O网页链接L都市快报的微博视频,,,,新疆地震居民房子吊顶出现裂痕,0,0,0,2023-01-30 11:04,微博视频号,,"http://f.video.weibocdn.com/o0/MzTqChdElx082KEKcuCQ0104120045G00E010.mp4?label=mp4_720p&template=576x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504818&ssig=9OrGyazxXy&KID=unistore,video",
4863565724912548,MqFDmkBYE,5449334139,麦穗视频,#新疆地震居民房子吊顶出现裂痕#今天，新疆沙雅发生6.1级地震。上午9点，橙柿互动联系上距离震中较近的沙雅县居民小张。小张是被“震醒”的，他住在10层。“当时在睡觉，刚开始就感觉楼在摇摆，床也跟着摇摆，自己就醒了，觉得跑下去时间来不及，于是和奶奶选择躲进了卫生间。直到在卫生间里，房子还在摇，持续了三到五分钟。”小张说小区群里有人说，自己房子的吊顶出现了裂痕，还有朋友说没人比她抱着孩子更感到害怕......O网页链接L都市快报的微博视频,,,,新疆地震居民房子吊顶出现裂痕,0,0,0,2023-01-30 11:04,微博视频号,,"http://f.video.weibocdn.com/o0/MzTqChdElx082KEKcuCQ0104120045G00E010.mp4?label=mp4_720p&template=576x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504818&ssig=9OrGyazxXy&KID=unistore,video",
4863565720196377,MqFDm0P5n,2141709023,ING现场,#新疆地震居民房子吊顶出现裂痕#今天，新疆沙雅发生6.1级地震。上午9点，橙柿互动联系上距离震中较近的沙雅县居民小张。小张是被“震醒”的，他住在10层。“当时在睡觉，刚开始就感觉楼在摇摆，床也跟着摇摆，自己就醒了，觉得跑下去时间来不及，于是和奶奶选择躲进了卫生间。直到在卫生间里，房子还在摇，持续了三到五分钟。”小张说小区群里有人说，自己房子的吊顶出现了裂痕，还有朋友说没人比她抱着孩子更感到害怕......O网页链接L都市快报的微博视频,,,,新疆地震居民房子吊顶出现裂痕,0,0,0,2023-01-30 11:04,微博视频号,,"http://f.video.weibocdn.com/o0/MzTqChdElx082KEKcuCQ0104120045G00E010.mp4?label=mp4_720p&template=576x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504818&ssig=9OrGyazxXy&KID=unistore,video",
4863565721245801,MqFDm5e5z,6373459851,麦穗视频快快看,#新疆地震居民房子吊顶出现裂痕#今天，新疆沙雅发生6.1级地震。上午9点，橙柿互动联系上距离震中较近的沙雅县居民小张。小张是被“震醒”的，他住在10层。“当时在睡觉，刚开始就感觉楼在摇摆，床也跟着摇摆，自己就醒了，觉得跑下去时间来不及，于是和奶奶选择躲进了卫生间。直到在卫生间里，房子还在摇，持续了三到五分钟。”小张说小区群里有人说，自己房子的吊顶出现了裂痕，还有朋友说没人比她抱着孩子更感到害怕......O网页链接L都市快报的微博视频,,,,新疆地震居民房子吊顶出现裂痕,0,0,0,2023-01-30 11:04,微博视频号,,"http://f.video.weibocdn.com/o0/MzTqChdElx082KEKcuCQ0104120045G00E010.mp4?label=mp4_720p&template=576x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504818&ssig=9OrGyazxXy&KID=unistore,video",
4863565607737502,MqFDawsSq,1816852673,罗庄发布,【#消防救援队伍已赶往新疆地震震中#，当地居民：20年来第一次震感这么强烈】中国地震台网正式测定：1月30日07时49分在新疆阿克苏地区沙雅县（北纬40.01度，东经82.29度）发生6.1级地震，震源深度50千米。当地居民李先生表示，地震时他还在睡觉，感受到强烈震感后，他迅速起床通知家人。“还没走出家门，就不震了。”李先生说，“来新疆20多年，第一次感受到这么强烈的震感。”沙雅县当地一酒店工作人员表示，感受到震感后，有几位客人跑下楼，但震感很快就过去了，目前一切正常。新疆阿克苏沙雅县消防救援大队前突力量2车10人已赶赴震中踏勘。新疆消防救援总队、新疆森林消防总队共1500人、36犬已就地集结，做好出动准备。据了解，震中20公里范围内人口极其稀少，目前未接到人员伤亡或房屋倒塌相关警情。映象网的微博视频L映象网的微博视频,,,,消防救援队伍已赶往新疆地震震中,0,0,0,2023-01-30 11:04,微博视频号,,"http://f.video.weibocdn.com/o0/PfXSkg3hlx082KBXE2bK01041200mhCw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504818&ssig=e8sbw69q6X&KID=unistore,video",
4863565536690786,MqFD3s4zU,2420408797,新赛罕V,#新疆地震#【#新疆沙雅发生6.1级地震#】中国地震台网正式测定：01月30日07时49分在新疆阿克苏地区沙雅县（北纬40.01度，东经82.29度）发生6.1级地震，震源深度50千米。提示：震中附近的朋友注意安全，小心强余震。愿平安！,,,,"新疆地震,新疆沙雅发生6.1级地震",0,0,0,2023-01-30 11:04,微博网页版,['https://wx3.sinaimg.cn/large/904481ddly1halhwbe835j20j60eeab5.jpg'],,
4863558510975262,MqFrJ45I2,2035413034,海南新闻频道官方微博,#新疆地震#【#新疆沙雅6.1级地震#】@中国地震台网正式测定：今天07时49分在新疆阿克苏地区沙雅县（北纬40.01度，东经82.29度）发生6.1级地震，震源深度50千米。提示：震中附近的朋友注意安全，小心强余震。愿平安！(央视新闻),,,中国地震台网,"新疆地震,新疆沙雅6.1级地震",0,0,0,2023-01-30 10:36,微博网页版,['https://wx2.sinaimg.cn/large/7951f02agy1halh30xpx9j20j60eedj5.jpg'],,
