id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.91615E+15,N6M1NhiPl,5861179987,白月光的小野喵,#海口地震#毫无震感,,,,海口地震,0,0,0,2023/6/24 13:19,微博轻享版,,,
4.91615E+15,N6M1E5xBD,3274300483,亳州消防,#北部湾发生5级地震#【地震来临时我们该如何自救】在教室图书馆要远离窗户和书架，躲在桌子下方；在室外远离危墙玻璃幕墙；牢记避震口诀伏地遮挡手抓牢。更多戳视频～L辽宁消防的微博视频,,,,北部湾发生5级地震,0,0,0,2023/6/24 13:19,微博视频号,,"http://f.video.weibocdn.com/o0/xNvtX6g7lx0866kHO3PO010412006FxL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687698420&ssig=YHFGs47Gik&KID=unistore,video",
4.91612E+15,N6Ln35tww,7789992556,RAN_Dylannn,#北部湾发生5级地震#睡得跟死猪一样……,,,,北部湾发生5级地震,0,1,4,2023/6/24 11:39,OPPO Reno4 SE 5G,,,
4.91612E+15,N6LmT5YXb,6823585565,一意孤行的忍侠,#湛江地震#我一睡着真的啥事都不知道了,,,,湛江地震,0,0,0,2023/6/24 11:38,Note 9 Pro 一亿像素,,,
4.91612E+15,N6LmQ6tEW,7763109445,Bibii何处不相逢,#三亚地震#地震不知道，但是雷声怕我轰醒了，还以为是哪里开炮了,,,,三亚地震,0,0,1,2023/6/24 11:38,iPhone客户端,,,
4.91612E+15,N6LmJBiz2,7442546301,山水一别再不相逢,#广东地震#又是半夜震，再大几级压根跑不掉,,,,广东地震,0,0,1,2023/6/24 11:38,iPhone客户端,,,
4.91612E+15,N6LmGDZqU,1962288787,G朵朵芃蓁,#广西地震#【广西也地震，少见】第一次听说广西地震，好多朋友说半夜有震感，我木有感觉呀！,,,,广西地震,0,1,1,2023/6/24 11:38,iPhone 14 Pro Max,"['https://wx2.sinaimg.cn/large/74f62693gy1hf95qstvtoj20zu1kdtki.jpg', 'https://wx2.sinaimg.cn/large/74f62693gy1hf96tg3jl4j20tx0jgtcd.jpg', 'https://wx4.sinaimg.cn/large/74f62693gy1hf975ls71wj20u00zsdkj.jpg']",,
4.91612E+15,N6LmFs42T,2451903763,洛阳消防,#北部湾发生5级地震#【地震来了怎么办？】地震灾害具有瞬时突发性，发生地震时不要惊慌，掌握基本防震避险常识，有助于确保安全。更多地震避险逃生小知识，戳视频学习~#豫豫小课堂#L河南消防的微博视频,,,,"北部湾发生5级地震,豫豫小课堂",0,15,13,2023/6/24 11:38,iPhone客户端,,"http://f.video.weibocdn.com/o0/DlPW5NHIlx084ft8vgYM01041200zZak0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687698444&ssig=1sTcO3marH&KID=unistore,video",
4.91612E+15,N6LmExI4z,3938812452,广东电网,【#北部湾发生5级地震#广东电网运行正常】据中国地震台网测定，北京时间2023年6月24日03时07分，在北部湾(北纬20.72度，东经109.07度)发生5.0级地震，震源深度20公里。震中距离北海市涠洲岛38公里，海城区城区85公里，银海区城区85公里。广西北海市、防城港市、钦州市、玉林市、南宁市，广东湛江市、茂名市，海南海口市震感明显。经核实，湛江、茂名电网运行正常。@湛江供电@茂名供电@南网50Hz@中国地震台网,,,"湛江供电,茂名供电,南网50Hz,中国地震台网",北部湾发生5级地震,1,0,5,2023/6/24 11:38,,['https://wx4.sinaimg.cn/large/eac58224gy1hf95pzb92qj20m80go41o.jpg'],,
4.91612E+15,N6LmCc27X,1767961804,大江网,【#汶川敬礼娃娃637分#】还记得汶川地震“敬礼娃娃”郎铮吗？今年参加高考的他，总分是文科637分。15年前，年仅3岁的他被埋20余个小时后获救，躺在担架上向解放军叔叔敬礼。如今，他已长成1米85的大男孩，#郎铮说考个好大学不辜负帮我的人#，用实际行动感恩。少年未来可期！L红星视频的微博视频,,,,"汶川敬礼娃娃637分,郎铮说考个好大学不辜负帮我的人",0,0,1,2023/6/24 11:38,微博视频号,,"http://f.video.weibocdn.com/o0/p5nOl4Vwlx086t5R0AG4010412002Gcs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687698444&ssig=KRd8%2BMYcCW&KID=unistore,video",
4.91612E+15,N6LmwA602,1363502007,辽宁消防,#北部湾发生5级地震#【地震来临时我们该如何自救】在教室图书馆要远离窗户和书架，躲在桌子下方；在室外远离危墙玻璃幕墙；牢记避震口诀伏地遮挡手抓牢。更多戳视频～L辽宁消防的微博视频,,,,北部湾发生5级地震,11,14,24,2023/6/24 11:38,iPhone客户端,,"http://f.video.weibocdn.com/o0/xNvtX6g7lx0866kHO3PO010412006FxL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687698444&ssig=%2B164tfdmIO&KID=unistore,video",
4.91612E+15,N6LmtmhgU,7618266126,兔兔奶糖鱼,#湛江地震#睡的好香,,,,湛江地震,0,0,0,2023/6/24 11:37,nova6 5G自拍大不一样,,,
4.91613E+15,N6LIgjtfc,6999689721,牛奶面包or豆浆油条,#广东地震#昨晚三点多某人一直在电话陪着我睡着，没感觉到啊~不是雷声震的吗？,,,,广东地震,0,0,0,2023/6/24 12:31,HUAWEI Mate 30 5G,,,
4.91613E+15,N6LIbE545,7130493590,twelve_尤,#广西地震#报一思第一次经历地震睡的很死什么都没感觉，差点就埋在废墟里,,,,广西地震,0,0,2,2023/6/24 12:31,iPhone客户端,,,
4.91613E+15,N6LIblnEY,1819638285,扬州交通广播,【真棒！#汶川敬礼娃娃高考文科637分#】“语文129分、数学126分、文综239分、英语143分，总共637分！”还记得汶川地震中的“敬礼娃娃”郎铮吗？今年高考的他，拿到了637分的好成绩，#敬礼娃娃郎铮有望进入梦中情校#。给你点赞！继续加油，阳光男孩！L四川日报的微博视频,,,,"汶川敬礼娃娃高考文科637分,敬礼娃娃郎铮有望进入梦中情校",0,0,0,2023/6/24 12:31,微博视频号,,"http://f.video.weibocdn.com/o0/GAjxTyOllx086t7FQ9oY010412004Pfq0E010.mp4?label=mp4_720p&template=720x1268.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687698448&ssig=4FG8s%2B%2FGbj&KID=unistore,video",
4.91613E+15,N6LI5nrgk,7589878545,无敌可爱卷卷薯,#广西地震#南宁西乡塘区感觉到了！3.09分床在摇,,,,广西地震,0,1,5,2023/6/24 12:31,iPhone客户端,,,
4.91613E+15,N6LHVDmu3,1792821327,思君视线,汶川“敬礼娃娃”今年高考啦！2008年5月12日四川汶川突发8.0级特大地震，当时只有3岁的郎铮在被埋20多个小时后获救，全身沾满灰尘的小郎铮举起带着血迹的小手向解放军战士敬少先队队礼以表示感谢！这一幕感动了无数人他也因此被大家称为“敬礼娃娃”。十五年后的今天在人生又一次考验——高考中他在一次给人惊喜！以总分637分的成绩获清华和北大的召唤，其实我们已不需要所谓惊喜了，其实你的人生已足够起伏跌宕、积累沉淀……18岁的成人礼后你会冲出蜀地！继续奋斗……,,,,,0,0,0,2023/6/24 12:30,vivo X70 Pro+,"['https://wx1.sinaimg.cn/large/6adc484fly1hf977jphvej20m80v6qc2.jpg', 'https://wx4.sinaimg.cn/large/6adc484fly1hf977k131tj20tz0tzdkv.jpg', 'https://wx4.sinaimg.cn/large/6adc484fly1hf977k6vkyj20eo0i775j.jpg']",,
4.91613E+15,N6LHT3o5L,5636063846,#NAME?,#华南f3地震#还以为是自己做梦还是心脏跳得太快，因为感觉海南怎么会地震，带着怀疑又睡回去了,,,,华南f3地震,0,0,1,2023/6/24 12:30,iPhone客户端,,,
4.91613E+15,N6LHryjH3,6129028101,清年岁,#茂名地震#没感觉，睡得很死猪一样,,,,茂名地震,0,0,3,2023/6/24 12:29,Redmi Note 11 5G,['https://wx3.sinaimg.cn/large/006GMMbXgy1hf977tsuijj30u01uo454.jpg'],,
4.91613E+15,N6LHeeqMP,2767648917,中国冠县,还记得“敬礼娃娃”郎铮吗？2008年从地震废墟中得救的他只有3岁他向解放军敬少先队队礼表示感谢这一幕让无数人感动落泪15年过去“敬礼娃娃”已然长O网页链接,,,,,3,1,4,2023/6/24 12:29,闪电云平台,,,
4.91613E+15,N6LHdk51H,7466697237,wwxxl_,#法老广州ayo音乐节#看过孙权现场的谁能不说一句！三国第一帅！！孙权炸翻了！！法老一出来全体军训蹦到地震百变酒精硬核巨星我想ghostface上学威龙健将宇宙警备队每首都顶到把音乐节变成演唱会权子就是全场mvp（狗哥对不起）帅哥说唱！！！（回看视频发现根本拍不出全场嗨翻的氛围（嗨到没空管手机都拍了些啥Lwwxxl_的微博视频,,,,法老广州ayo音乐节,0,1,14,2023/6/24 12:29,iPhone客户端,,"http://f.video.weibocdn.com/u0/E09tVCzggx086u2yHE7u01041204AMID0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687698458&ssig=EyfBk4%2BeC5&KID=unistore,video",
4.91613E+15,N6LGYh0tU,6972085315,_快乐小雯_,地震了但是睡死了一点感觉都没有,,,,,0,0,0,2023/6/24 12:28,Note 9,,,
4.91619E+15,N6N5t7ZbN,1784015754,模糊的清晰0,#燕郊地震#是不是地震了？很明显晃悠了几下,,,,燕郊地震,0,0,2,2023/6/24 16:01,iPhone客户端,,,
4.91619E+15,N6N5qtmHx,5944606716,几何世界的邀请,平安🙏🏻🙏🏻🙏🏻不要地震,,,,,0,0,0,2023/6/24 16:01,iPhone客户端,,,
4.91619E+15,N6N5grFWw,2829161247,可以耶耶耶耶耶,刚刚是地震了吧,,廊坊·燕郊,,,0,0,0,2023/6/24 16:01,iPhone客户端,,,
4.91619E+15,N6N5f1rYn,5881762245,闻姐正能量,老师激动的拍着桌子说：“没想到他裸分考上北大！”汶川大地震中的“敬礼娃娃”高考637分，老师查到成绩后激动坏了。2008年，时年3岁的郎铮获救后向人民子弟兵敬礼！这孩子也给所有救过他的人，帮助过他的人争光了！！#敬礼娃娃郎铮高考文科637分#,,,,敬礼娃娃郎铮高考文科637分,0,0,5,2023/6/24 16:01,微博 weibo.com,"['https://wx3.sinaimg.cn/large/006EytwLly1hf8ms2m6srj30zo1r3x6p.jpg', 'https://wx1.sinaimg.cn/large/006EytwLly1hf8ms6pdesj30zo1qo4qq.jpg', 'https://wx4.sinaimg.cn/large/006EytwLly1hf8ms3klboj30zo1n37qd.jpg']",,
